0.4828502,3.87E+16
0.5084724,2.96E+16
0.51504725,2.36E+16
0.5722647,1.93E+16
0.63580114,1.61E+16
0.6614384,1.21E+16
0.67436236,9.52E+15
0.8198809,1.11E+16
0.94010824,1.25E+16
1.098295,1.46E+16
1.2881973,1.64E+16
1.4464893,1.73E+16
1.6681525,1.79E+16
1.9088328,1.81E+16
2.124252,1.72E+16
2.2701015,1.47E+16
2.4666088,1.28E+16
2.650478,1.08E+16
2.8534546,8.24E+15
2.9359784,6.96E+15
2.9742987,5.17E+15
3.0063002,3.78E+15
3.0256186,2.81E+15
3.1524808,2.37E+15
3.2857676,1.84E+15
3.3937027,1.45E+15
3.4763017,1.14E+15
3.495665,8.09E+14
3.5153143,4.40E+14
3.5349333,2.46E+14
3.54208,1.14E+14
3.534437,1.00E+12
